job_link,min_salary,max_salary,ave_salary
https://www.linkedin.com/jobs/view/registered-nurse-rn-medical-laboratory-tech-mlt-per-diem-at-healthtrust-workforce-solutions-at-health-ecareers-3795552325,65000.0,,65000.0
https://www.linkedin.com/jobs/view/sr-ml-engineering-manager-firefly-app-integrations-at-adobe-3781391423,146300.0,,146300.0
https://www.linkedin.com/jobs/view/sales-representative-costar-data-analytics-washington-d-c-at-costar-group-3738035372,62400.0,,62400.0
https://www.linkedin.com/jobs/view/data-warehouse-analyst-at-elevance-health-3784003227,,,
https://www.linkedin.com/jobs/view/data-manager-at-yale-university-3584813555,,,
https://www.linkedin.com/jobs/view/medical-technologist-mt-or-mlt-at-gables-search-group-3766938966,48880.0,81120.0,65000.0
https://www.linkedin.com/jobs/view/data-analyst-at-quantum-world-technologies-inc-3807032427,,,
https://www.linkedin.com/jobs/view/sr-data-engineer-hybrid-at-jobs-for-humanity-3804052703,161900.0,184800.0,173350.0
https://www.linkedin.com/jobs/view/technical-lead-edge-data-center-operations-at-roblox-3768764805,166130.0,,166130.0
https://www.linkedin.com/jobs/view/supply-chain-data-analyst-at-denso-3806857019,68000.0,82000.0,75000.0
https://www.linkedin.com/jobs/view/manager-data-loss-prevention-dlp-engineer-symantec-at-jobs-for-humanity-3792322702,,,
https://www.linkedin.com/jobs/view/data-steward-research-analysis-spec-sr-at-state-of-minnesota-3799100999,63544.0,93641.6,78592.8
https://www.linkedin.com/jobs/view/contractor-epic-clarity-data-analyst-revenue-cycle-at-deloitte-3805726859,,,
https://uk.linkedin.com/jobs/view/laboratory-data-manager-at-the-institute-of-cancer-research-3805457410,,,
https://ca.linkedin.com/jobs/view/customer-service-representative-data-analyst-data-entry-clerk-at-univisioncommunicationsinc-3757208247,,,
https://www.linkedin.com/jobs/view/data-coordinator-at-cottingham-butler-3727586242,,,
https://www.linkedin.com/jobs/view/senior-manager-machine-learning-engineering-at-clickjobs-io-3806063440,234700.0,267900.0,251300.0
https://www.linkedin.com/jobs/view/manager-data-loss-prevention-dlp-engineer-symantec-at-jobs-for-humanity-3804055697,197400.0,225300.0,211350.0
https://www.linkedin.com/jobs/view/data-engineer-at-jobs-for-humanity-3805386835,,,
https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3792356305,161900.0,184800.0,173350.0
https://www.linkedin.com/jobs/view/audit-manager-data-tech-bsa-aml-including-sanctions-at-bank-of-america-3779312963,,,
https://www.linkedin.com/jobs/view/business-data-analyst-iii-701569-at-the-judge-group-3729745801,,,
https://www.linkedin.com/jobs/view/data-center-project-manager-us-west-cpi-at-amazon-web-services-aws-3775912054,,,
https://www.linkedin.com/jobs/view/clinical-data-steward-at-steneral-consulting-3800978594,,,
https://www.linkedin.com/jobs/view/senior-full-stack-machine-learning-engineer-optix-at-ga-ccri-3657308448,144000.0,210000.0,177000.0
https://www.linkedin.com/jobs/view/sr-field-application-engineer-data-devices-at-te-connectivity-3798882716,112816.0,166660.0,139738.0
https://www.linkedin.com/jobs/view/senior-data-analysis-engineer-at-nikola-corporation-3783192675,,,
https://www.linkedin.com/jobs/view/technical-data-engineering-manager-at-srs-distribution-inc-3776984153,,,
https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-series-a-at-recruiting-from-scratch-3744395618,190000.0,250000.0,220000.0
https://www.linkedin.com/jobs/view/principal-associate-data-loss-prevention-dlp-engineer-at-jobs-for-humanity-3804055719,165100.0,188500.0,176800.0
https://www.linkedin.com/jobs/view/contractor-epic-clarity-data-analyst-at-deloitte-3805733186,,,
https://www.linkedin.com/jobs/view/senior-people-data-scientist-at-atlassian-3782278915,175100.0,,175100.0
https://www.linkedin.com/jobs/view/it-data-lifecycle-manager-at-labella-associates-3771472562,80000.0,90000.0,85000.0
https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-jobs-for-humanity-3805272306,161900.0,184800.0,173350.0
https://www.linkedin.com/jobs/view/ncdhhs-health-informatics-data-analyst-at-nr-consulting-3762821102,,,
https://www.linkedin.com/jobs/view/data-center-ops-analyst-at-ntt-data-services-3787399382,62400.0,,62400.0
https://www.linkedin.com/jobs/view/senior-battery-data-scientist-at-factorial-energy-3744756670,,,
https://www.linkedin.com/jobs/view/clinical-data-operator-temp-at-natera-3798727772,45281.6,,45281.6
https://www.linkedin.com/jobs/view/lead-machine-learning-engineer-bangkok-based-relocation-provided-at-agoda-3800269736,,,
https://www.linkedin.com/jobs/view/principal-machine-learning-engineer-at-baker-hughes-3686008663,40300.0,,40300.0
https://uk.linkedin.com/jobs/view/lead-data-analytics-engineer-at-northreach-3788684951,,,
https://www.linkedin.com/jobs/view/volunteer-nhq-it-enterprise-web-services-code4good-volunteer-data-scientist-at-volunteermatch-3803994433,,,
https://www.linkedin.com/jobs/view/lead-data-scientist-at-infosys-3785765143,,,
https://www.linkedin.com/jobs/view/tt-assistant-professor-data-science-at-university-of-new-haven-3668769832,,,
https://www.linkedin.com/jobs/view/senior-manager-machine-learning-engineering-at-jobs-for-humanity-3805127744,234700.0,267900.0,251300.0
https://uk.linkedin.com/jobs/view/associate-sas-data-analyst-placement-at-celerion-3798687056,,,
